time,latitude,longitude,depth,mag,magType,place,updated,type,status,year,month,day,hour,minute,second,horizontalError,depthError
2022-09-10,33.34929653250815,142.57716536225203,47.86813884394346,6.084316500246894,mb,Ring of Fire - Japan,2022-09-10,earthquake,reviewed,2022,9,10,0,0,0,10,5
2019-12-10,35.837123876600415,145.05257642403262,7.2053960219667434,5.4514731195858905,mb,Ring of Fire - Japan,2019-12-10,earthquake,reviewed,2019,12,10,0,0,0,10,5
2020-05-13,39.38713436103805,147.69357483807298,22.274471012481335,4.336536510966386,mb,Ring of Fire - Japan,2020-05-13,earthquake,reviewed,2020,5,13,0,0,0,10,5
2019-08-10,32.275927773436365,132.93848149332354,9.720370154767547,6.679389261352933,mb,Ring of Fire - Japan,2019-08-10,earthquake,reviewed,2019,8,10,0,0,0,10,5
2015-07-17,35.427393807159966,139.826739078862,10.970989290775638,6.480603559301526,mb,Ring of Fire - Japan,2015-07-17,earthquake,reviewed,2015,7,17,0,0,0,10,5
2015-10-09,33.19923844968226,144.7371991052332,6.452323249828647,5.974620400757309,mb,Ring of Fire - Japan,2015-10-09,earthquake,reviewed,2015,10,9,0,0,0,10,5
2017-10-22,37.846528573157045,147.90425293019513,17.735435321826554,5.579097435193875,mb,Ring of Fire - Japan,2017-10-22,earthquake,reviewed,2017,10,22,0,0,0,10,5
2022-08-19,37.46763473630957,133.8957817501449,1.7165730252475377,5.925318157002853,mb,Ring of Fire - Japan,2022-08-19,earthquake,reviewed,2022,8,19,0,0,0,10,5
2017-02-03,33.61560284547745,140.33328639254313,40.48343070272726,5.694228602844545,mb,Ring of Fire - Japan,2017-02-03,earthquake,reviewed,2017,2,3,0,0,0,10,5
2014-07-21,35.65591494816159,144.40880519474305,2.5010378518400787,5.194548794280935,mb,Ring of Fire - Japan,2014-07-21,earthquake,reviewed,2014,7,21,0,0,0,10,5
2014-12-04,42.022239002309135,145.35492593508684,18.524646813413867,5.857849887418155,mb,Ring of Fire - Japan,2014-12-04,earthquake,reviewed,2014,12,4,0,0,0,10,5
2015-05-08,35.97225190818438,138.07458859791842,22.458660065827566,5.393846799816425,mb,Ring of Fire - Japan,2015-05-08,earthquake,reviewed,2015,5,8,0,0,0,10,5
2018-02-04,37.7917532023133,143.3888370483667,14.492076672041389,6.219064155526577,mb,Ring of Fire - Japan,2018-02-04,earthquake,reviewed,2018,2,4,0,0,0,10,5
2022-05-24,30.47554013135755,145.4982348789241,8.081816739958999,5.693360727237606,mb,Ring of Fire - Japan,2022-05-24,earthquake,reviewed,2022,5,24,0,0,0,10,5
2018-10-18,37.85001618652154,148.63258234287682,2.2607861835835106,6.074731046200009,mb,Ring of Fire - Japan,2018-10-18,earthquake,reviewed,2018,10,18,0,0,0,10,5
2024-06-07,36.084908075142906,136.7744012269744,56.71487752153549,6.016837363305048,mb,Ring of Fire - Japan,2024-06-07,earthquake,reviewed,2024,6,7,0,0,0,10,5
